Index,OEM,Model,Launch Announced,Launch Status,Body Dimensions,Body Weight,Body SIM,Display Type,Display Size,Display Resolution,Features Sensors,Platform OS
86,Huawei,Y6s (2019),2020,January 30","Available. Released 2020,May",156.3 x 73.5 x 8 mm (6.15 x 2.89 x 0.31 in),150 g (5.29 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
87,Huawei,P smart Pro 2019,2019,December","Available. Released 2019,December",163.1 x 77.2 x 8.8 mm (6.42 x 3.04 x 0.35 in),206 g (7.27 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","LTPS IPS LCD capacitive touchscreen,16M colors"
88,Huawei,nova 6 5G,2019,December","Available. Released 2019,December",162.7 x 75.8 x 9 mm (6.41 x 2.98 x 0.35 in),212 g (7.48 oz),"Dual SIM (Nano-SIM,dual stand-by)","LTPS IPS LCD capacitive touchscreen,16M colors"
89,Huawei,nova 6,2019,December","Available. Released 2019,December",162.6 x 75.7 x 8.6 mm (6.40 x 2.98 x 0.34 in),197 g (6.95 oz),"Dual SIM (Nano-SIM,dual stand-by)","LTPS IPS LCD capacitive touchscreen,16M colors"
90,Huawei,nova 6 SE,2019,December","Available. Released 2019,December",159.2 x 76.3 x 8.7 mm (6.27 x 3.00 x 0.34 in),183 g (6.46 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","LTPS IPS LCD capacitive touchscreen,16M colors"
91,Huawei,MatePad Pro,2019,November 25","Available. Released 2019,December 12",246 x 159 x 7.2 mm (9.69 x 6.26 x 0.28 in),460 g (1.01 lb),Nano-SIM,"IPS LCD capacitive touchscreen,16M colors","10.8 inches
92,Huawei,Y9s,2019,November 08","Available. Released 2019,November 08",163.1 x 77.2 x 8.8 mm (6.42 x 3.04 x 0.35 in),206 g (7.27 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","LTPS IPS LCD capacitive touchscreen,16M colors"
93,Huawei,nova 5z,2019,October","Available. Released 2019,November",156.1 x 73.9 x 8.3 mm (6.15 x 2.91 x 0.33 in),178 g (6.28 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","LTPS IPS LCD capacitive touchscreen,16M colors"
94,Huawei,Enjoy 10s,2019,October 28","Available. Released 2019,November",157.4 x 73.2 x 7.8 mm (6.20 x 2.88 x 0.31 in),163 g (5.75 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","OLED capacitive touchscreen,16M colors"
95,Huawei,Enjoy 10,2019,October","Available. Released 2019,November",159.8 x 76.1 x 8.1 mm (6.29 x 3.00 x 0.32 in),176 g (6.21 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
96,Huawei,Mate 30 RS Porsche Design,2019,September","Available. Released 2019,November",158.1 x 73.1 x 9.3 mm (6.22 x 2.88 x 0.37 in),198 g (6.98 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","OLED capacitive touchscreen,16M colors"
97,Huawei,Mate 30 Pro 5G,2019,September 19","Available. Released 2019,October 23",158.1 x 73.1 x 8.8 mm (6.22 x 2.88 x 0.35 in),198 g (6.98 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","OLED capacitive touchscreen,16M colors"
98,Huawei,Mate 30 Pro,2019,September 19","Available. Released 2019,September 26",158.1 x 73.1 x 8.8 mm (6.22 x 2.88 x 0.35 in),198 g (6.98 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by)","OLED capacitive touchscreen,16M colors"
99,Huawei,Mate 30 5G,2019,September","Available. Released 2019,October",160.8 x 76.1 x 8.4 mm (6.33 x 3.00 x 0.33 in),196 g (6.91 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","OLED capacitive touchscreen,16M colors"
100,Huawei,Mate 30,2019,September","Available. Released 2019,September",160.8 x 76.1 x 8.4 mm (6.33 x 3.00 x 0.33 in),196 g (6.91 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by)","OLED capacitive touchscreen,16M colors"
101,Huawei,Watch GT 2,2019,September","Available. Released 2019,October",45.9 x 45.9 x 10.7 mm (1.81 x 1.81 x 0.42 in),41 g (1.45 oz),No,"OLED capacitive touchscreen,16M colors","1.39 inches
102,Huawei,nova 5i Pro,2019,July","Available. Released 2019,July",156.1 x 73.9 x 8.3 mm (6.15 x 2.91 x 0.33 in),178 g (6.28 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","LTPS IPS LCD capacitive touchscreen,16M colors"
103,Huawei,Enjoy 10 Plus,2019,September","Available. Released 2019,September",163.5 x 77.3 x 8.8 mm (6.44 x 3.04 x 0.35 in),163.5 g (5.78 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
104,Huawei,nova 5T,2019,August 27","Available. Released 2019,September 05",154.3 x 74 x 7.8 mm (6.07 x 2.91 x 0.31 in),174 g (6.14 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
105,Huawei,MediaPad M6 10.8,2019,June","Available. Released 2019,July 10",257 x 170 x 7.2 mm (10.12 x 6.69 x 0.28 in),498 g (1.10 lb),Nano-SIM,"IPS LCD capacitive touchscreen,16M colors","10.8 inches
106,Huawei,MediaPad M6 Turbo 8.4,2019,September","Available. Released 2019,September",206.4 x 125.2 x 8.2 mm (8.13 x 4.93 x 0.32 in),340 g (11.99 oz),Nano-SIM,"IPS LCD capacitive touchscreen,16M colors","8.4 inches
107,Huawei,MediaPad M6 8.4,2019,June","Available. Released 2019,July",206.4 x 125.2 x 7.4 mm (8.13 x 4.93 x 0.29 in),320 g (11.29 oz),Nano-SIM,"IPS LCD capacitive touchscreen,16M colors","8.4 inches
108,Huawei,nova 5 Pro,2019,June","Available. Released 2019,June",157.4 x 74.8 x 7.3 mm (6.20 x 2.94 x 0.29 in),171 g (6.03 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","OLED capacitive touchscreen,16M colors"
